ts	phase	decision	why	evidence	result
2026-08-25T10:00:00Z	frame	Preserve named dormant app and VPS modules	The user may enable them again	User clarification in current task	VERIFIED
2026-08-25T10:01:00Z	frame	Enable Ollama on rgo-laptop	The only existing Ollama host assignment is the laptop false setting	hosts/rgo-laptop/default.nix	VERIFIED
2026-08-25T10:02:00Z	frame	Keep current Agent Skills layout	Latest commit makes modules/apps/agents the source of global instructions and skills	b549948; modules/apps/agents/default.nix	VERIFIED
2026-08-25T10:03:00Z	frame	Retain XWayland and the X11 SDDM greeter	Active apps still need X compatibility and the NVIDIA greeter choice is intentional	modules/apps/hyprland/default.nix	VERIFIED
2026-08-25T10:04:00Z	frame	Localize secret declarations without deleting dormant service values	Disabled services should keep encrypted recovery data without decrypting it at runtime	secrets/default.nix; modules/services	VERIFIED
2026-08-25T11:15:00Z	tooling	Run trusted npm package install scripts	Claude and OpenCode require postinstall scripts	Installed package.json scripts; modules/apps/javascript-toolchain/default.nix	VERIFIED
2026-08-25T11:20:00Z	tooling	Use an OS file lock for npm updates	A directory lock can survive interruption and block every later update	modules/apps/javascript-toolchain/default.nix	VERIFIED
2026-08-25T11:30:00Z	secrets	Restore script-owned OpenAI and OpenRouter secrets	The rebuild wizard and Twitter helper read secret files outside Nix expressions	tools/rebuild-wizard/ai.ts; modules/scripts/twitter_reply.py	VERIFIED
2026-08-25T12:00:00Z	architecture	Use one module root and three role profiles	Both personal hosts repeated the same app policy while Darwin had separate root wiring	modules/default.nix; modules/profiles/default.nix	VERIFIED
2026-08-25T12:10:00Z	packages	Keep workstation-only CLI packages off macOS	Adding Linux utility packages to Darwin would change command behavior	Evaluated rgo-laptop environment.systemPackages	VERIFIED
